base_x#,base_y#...,*,gen_x#,gen_y#...,*,gen,antialiasing,fancy_pen,all_gen,approx,approx_bbox_gen,approx_max_gen,approx_max_vert,adjust_scale,width,height,,,,,,,,
0,0,1,0,*,0,0,50,0,50,0,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-1.81260616764028,50,1.81260616764028,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-3.61805880683787,50,3.61805880683787,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-5.4092326208587,50,5.4092326208587,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-7.17905866496833,50,7.17905866496833,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-8.92055224432725,50,8.92055224432725,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-10.6268404793905,50,10.6268404793905,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-12.2911894300231,50,12.2911894300231,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-13.9070306712858,50,13.9070306712858,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-15.4679872160069,50,15.4679872160069,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-16.9678986818376,50,16.9678986818376,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-18.4008456034666,50,18.4008456034666,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-19.7611727940454,50,19.7611727940454,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-21.0435116636272,50,21.0435116636272,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-22.2428014065387,50,22.2428014065387,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-23.3543089740679,50,23.3543089740679,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-24.3736477536453,50,24.3736477536453,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-25.2967948807996,50,25.2967948807996,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-26.1201071155656,50,26.1201071155656,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-26.8403352206883,50,26.8403352206883,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-27.4546367848777,50,27.4546367848777,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-27.9605874405077,50,27.9605874405077,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-28.3561904314873,50,28.3561904314873,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-28.6398844935449,50,28.6398844935449,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-28.8105500158252,50,28.8105500158252,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-28.8675134594813,50,28.8675134594813,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-28.8105500158252,50,28.8105500158252,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-28.6398844935449,50,28.6398844935449,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-28.3561904314873,50,28.3561904314873,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-27.9605874405077,50,27.9605874405077,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-27.4546367848777,50,27.4546367848777,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-26.8403352206883,50,26.8403352206883,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-26.1201071155656,50,26.1201071155656,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-25.2967948807996,50,25.2967948807996,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-24.3736477536453,50,24.3736477536453,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-23.3543089740679,50,23.3543089740679,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-22.2428014065386,50,22.2428014065386,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-21.0435116636272,50,21.0435116636272,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-19.7611727940454,50,19.7611727940454,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-18.4008456034665,50,18.4008456034665,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-16.9678986818375,50,16.9678986818375,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-15.4679872160069,50,15.4679872160069,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-13.9070306712858,50,13.9070306712858,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-12.2911894300231,50,12.2911894300231,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-10.6268404793904,50,10.6268404793904,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-8.92055224432719,50,8.92055224432719,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-7.17905866496827,50,7.17905866496827,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-5.40923262085864,50,5.40923262085864,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-3.6180588068378,50,3.6180588068378,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,-1.81260616764021,50,1.81260616764021,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,7.34E-14,50,-7.34E-14,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,1.81260616764035,50,-1.81260616764035,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,3.61805880683794,50,-3.61805880683794,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,5.40923262085878,50,-5.40923262085878,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
0,0,1,0,*,0,0,50,7.17905866496841,50,-7.17905866496841,100,0,*,5,1,0,0,1,5,30,10000000,1,640,480
