base_x#,base_y#...,*,gen_x#,gen_y#...,*,gen,antialiasing,fancy_pen,all_gen,approx,approx_bbox_gen,approx_max_gen,approx_max_vert,adjust_scale,width,height,,,,,,,,
0,0,1,0,*,0,0,50,-28.9,50,28.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-27.9,50,27.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-26.9,50,26.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-25.9,50,25.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-24.9,50,24.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-23.9,50,23.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-22.9,50,22.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-21.9,50,21.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-20.9,50,20.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-19.9,50,19.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-18.9,50,18.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-17.9,50,17.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-16.9,50,16.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-15.9,50,15.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-14.9,50,14.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-13.9,50,13.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-12.9,50,12.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-11.9,50,11.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-10.9,50,10.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-9.9,50,9.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-8.9,50,8.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-7.9,50,7.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-6.9,50,6.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-5.9,50,5.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-4.9,50,4.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-3.9,50,3.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-2.9,50,2.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-1.9,50,1.9,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,-0.899999999999999,50,0.899999999999999,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
0,0,1,0,*,0,0,50,0,50,0,100,0,*,5,1,0,0,1,5,30,10000000,1,496,840
